,employer,title,salary,submitDate,startDate,caseStatus,city,state
103,RADIUMONE INC,DATA SCIENTIST,80000,2015-02-10,2015-08-10,CERTIFIED,SAN FRANCISCO,CA
104,CAREERBUILDER LLC,DATA SCIENTIST,80000,2015-02-12,2015-08-12,CERTIFIED,NORCROSS,GA
105,GROUPON INC,DATA SCIENTIST,80000,2015-02-13,2015-08-10,CERTIFIED,CHICAGO,IL
106,OFFERPOP CORPORATION,DATA SCIENTIST,80000,2015-02-18,2015-08-20,CERTIFIED,NEW YORK,NY
107,PANORAMA EDUCATION INC,DATA SCIENTIST,80000,2015-02-25,2015-08-23,CERTIFIED,BOSTON,MA
108,CARD CORPORATION,DATA SCIENTIST,80000,2015-02-25,2015-03-16,CERTIFIED,LOS ANGELES,CA
109,REELIO LABS LLC,DATA SCIENTIST,80000,2015-03-12,2015-09-08,CERTIFIED,NEW YORK,NY
110,AUTOMOTIVEMASTERMIND LLC,DATA SCIENTIST,80000,2015-03-17,2015-09-01,CERTIFIED,NEW YORK,NY
111,THINKECO INC,DATA SCIENTIST,80000,2015-03-30,2015-09-27,CERTIFIED,NEW YORK,NY
112,DATO INC,DATA SCIENTIST,80000,2015-06-01,2015-06-11,CERTIFIED,SEATTLE,WA
113,EVERQUOTE INC,DATA SCIENTIST,80000,2015-04-02,2015-07-14,CERTIFIED,CAMBRIDGE,MA
114,EMC CORPORATION,DATA SCIENTIST,80750,2015-04-29,2015-09-10,CERTIFIED,HOPKINTON,MA
115,SCHLUMBERGER TECHNOLOGY CORPORATION,DATA SCIENTIST,81224,2015-03-24,2015-09-20,CERTIFIED,HOUSTON,TX
116,CAESARS ENTERPRISE SERVICES LLC,DATA SCIENTIST,81245,2015-07-22,2015-10-11,CERTIFIED,LAS VEGAS,NV
117,MAXPOINT INTERACTIVE INC,DATA SCIENTIST,82000,2015-08-12,2015-08-20,WITHDRAWN,AUSTIN,TX
118,MAXPOINT INTERACTIVE INC,DATA SCIENTIST,82000,2015-07-17,2015-07-20,WITHDRAWN,MORRISVILLE,NC
119,ALTERIAN INC,DATA SCIENTIST,82000,2015-04-15,2015-10-01,CERTIFIED,SEATTLE,WA
120,MAXPOINT INTERACTIVE INC,DATA SCIENTIST,82000,2015-07-17,2015-07-20,CERTIFIED,MORRISVILLE,NC
121,MAXPOINT INTERACTIVE INC,DATA SCIENTIST,82000,2015-08-12,2015-08-20,CERTIFIED,AUSTIN,TX
122,FIREEYE INC,DATA SCIENTIST,84094,2015-02-03,2015-07-16,CERTIFIED,MILPITAS,CA
123,IBM CORPORATION,DATA SCIENTIST,85000,2015-09-25,2015-10-02,CERTIFIED,CLEVELAND,OH
124,INSPIRE ENERGY HOLDINGS LLC,DATA SCIENTIST,85000,2015-11-03,2015-11-09,CERTIFIED,SANTA MONICA,CA
125,BEHAVIORMATRIX LLC,DATA SCIENTIST,85000,2015-03-11,2015-09-10,CERTIFIED,BLUE BELL,PA
126,GENERAL MOTORS COMPANY,DATA SCIENTIST,85000,2015-02-26,2015-08-28,CERTIFIED,DETROIT,MI
127,PERSIS CONSULTING CO,DATA SCIENTIST,85000,2015-02-27,2015-08-27,CERTIFIED,DETROIT,MI
128,AIRSAGE INC,DATA SCIENTIST,85000,2015-03-03,2015-09-02,CERTIFIED,ATLANTA,GA
129,GROUPON INC,DATA SCIENTIST,85000,2015-03-12,2015-09-01,CERTIFIED,PALO ALTO,CA
130,BAZAARVOICE INC,DATA SCIENTIST,85000,2015-04-14,2015-09-28,CERTIFIED,AUSTIN,TX
131,THE NIELSEN COMPANY (US) LLC,DATA SCIENTIST,85000,2015-07-01,2015-07-10,CERTIFIED,NEW YORK,NY
132,LENDINGCLUB CORPORATION,DATA SCIENTIST,85000,2015-08-14,2015-08-24,CERTIFIED,SAN FRANCISCO,CA
133,IBM CORPORATION,DATA SCIENTIST,85000,2015-09-23,2015-09-30,CERTIFIED,CLEVELAND,OH
134,IBM CORPORATION,DATA SCIENTIST,85000,2015-09-24,2015-10-01,CERTIFIED,CLEVELAND,OH
135,IBM CORPORATION,DATA SCIENTIST,85000,2015-09-24,2015-10-01,CERTIFIED,CLEVELAND,OH
136,IBM CORPORATION,DATA SCIENTIST,85938,2015-12-21,2016-06-21,CERTIFIED,FOSTER CITY,CA
137,6 SENSE INSIGHTS INC,DATA SCIENTIST,85946,2015-04-29,2015-05-18,CERTIFIED,SAN FRANCISCO,CA
138,6 SENSE INSIGHTS INC,DATA SCIENTIST,85946,2015-05-06,2015-05-18,CERTIFIED,SAN FRANCISCO,CA
139,6 SENSE INSIGHTS INC,DATA SCIENTIST,85946,2015-05-07,2015-05-18,CERTIFIED,SAN FRANCISCO,CA
140,ROAM ANALYTICS INC,DATA SCIENTIST,86000,2015-02-24,2015-08-26,CERTIFIED,SAN FRANCISCO,CA
141,SONY NETWORK ENTERTAINMENT INTERNATIONAL LLC,DATA SCIENTIST,86237,2015-03-19,2015-09-17,CERTIFIED,SAN MATEO,CA
142,RECREATIONAL EQUIPMENT INC,DATA SCIENTIST,86362,2015-10-21,2015-10-28,CERTIFIED,KENT,WA
143,SMARTER TRAVEL MEDIA LLC,DATA SCIENTIST,86445,2015-05-05,2015-05-14,CERTIFIED,BOSTON,MA
144,ACCENTURE LLP,DATA SCIENTIST,86700,2015-03-10,2015-08-26,CERTIFIED,ATLANTA,GA
145,LIVE NATION WORLDWIDE INC,DATA SCIENTIST,87277,2015-03-16,2015-09-09,CERTIFIED,HOLLYWOOD,CA
146,FPT USA CORP,DATA SCIENTIST,87277,2015-03-14,2015-09-13,CERTIFIED,EL SEGUNDO,CA
147,AUDIENCE MEDIA LLC,DATA SCIENTIST,87277,2015-03-05,2015-09-04,CERTIFIED,PASADENA,CA
148,FPT USA CORP,DATA SCIENTIST,87277,2015-03-09,2015-09-06,CERTIFIED,EL SEGUNDO,CA
149,FPT USA CORP,DATA SCIENTIST,87277,2015-03-26,2015-09-25,CERTIFIED,EL SEGUNDO,CA
150,INOVANT LLC,DATA SCIENTIST,87400,2015-03-09,2015-09-01,CERTIFIED,FOSTER CITY,CA
151,CLOUDWICK TECHNOLOGIES INC,DATA SCIENTIST,88254,2015-02-20,2015-08-18,WITHDRAWN,SAN JOSE,CA
152,CLOUDWICK TECHNOLOGIES INC,DATA SCIENTIST,88254,2015-02-20,2015-08-18,CERTIFIED,SAN JOSE,CA
153,CLOUDWICK TECHNOLOGIES INC,DATA SCIENTIST,88254,2015-02-20,2015-08-18,WITHDRAWN,SAN JOSE,CA
154,OPEX ANALYTICS LLC,DATA SCIENTIST,89440,2015-10-26,2015-11-03,CERTIFIED,PALO ALTO,CA
155,OPEX ANALYTICS LLC,DATA SCIENTIST,89440,2015-07-23,2015-08-10,CERTIFIED,PALO ALTO,CA
156,INTELLECT DESIGN ARENA INC,DATA SCIENTIST,90000,2015-10-01,2015-10-09,CERTIFIED,JERSEY CITY,NJ
157,FACEBOOK INC,DATA SCIENTIST,90000,2015-12-07,2016-06-04,CERTIFIED,MENLO PARK,CA
158,SCHLUMBERGER TECHNOLOGY CORPORATION,DATA SCIENTIST,90000,2015-02-27,2015-08-27,CERTIFIED,MENLO PARK,CA
159,KABBAGE INC,DATA SCIENTIST,90000,2015-02-27,2015-08-26,CERTIFIED,ATLANTA,GA
160,HOOKLOGIC INC,DATA SCIENTIST,90000,2015-03-02,2015-09-01,CERTIFIED,NEW YORK,NY
161,YASME SOFT INC,DATA SCIENTIST,90000,2015-03-02,2015-03-16,CERTIFIED,IRVING,TX
162,CA INC,DATA SCIENTIST,90000,2015-03-06,2015-09-03,CERTIFIED,SAN DIEGO,CA
163,ALIVIA CAPITAL LLC,DATA SCIENTIST,90000,2015-03-17,2015-09-05,CERTIFIED,WOBURN,MA
164,TRIPADVISOR LLC,DATA SCIENTIST,90000,2015-03-09,2015-09-01,CERTIFIED,NEWTON,MA
165,ACCOMPLICE INC,DATA SCIENTIST,90000,2015-03-10,2015-09-09,CERTIFIED,SAN FRANCISCO,CA
166,SLALOM LLC,DATA SCIENTIST,90000,2015-03-17,2015-09-11,CERTIFIED,ATLANTA,GA
167,TRUSTED PATTERNS INC,DATA SCIENTIST,90000,2015-03-13,2015-09-04,CERTIFIED,SANTA CLARA,CA
168,PEBBLE TECHNOLOGY CORP,DATA SCIENTIST,90000,2015-03-16,2015-09-15,CERTIFIED,PALO ALTO,CA
169,FARMER'S BUSINESS NETWORK INC,DATA SCIENTIST,90000,2015-03-18,2015-09-15,CERTIFIED,SAN CARLOS,CA
170,ESURANCE INSURANCE SERVICES INC,DATA SCIENTIST,90000,2015-09-24,2015-12-10,CERTIFIED,SAN FRANCISCO,CA
171,DATO INC,DATA SCIENTIST,90002,2015-02-26,2015-08-20,CERTIFIED,SEATTLE,WA
172,FACEBOOK INC,DATA SCIENTIST,91000,2015-12-07,2016-06-04,CERTIFIED,MENLO PARK,CA
173,APIGEE CORPORATION,DATA SCIENTIST,91000,2015-03-10,2015-09-04,CERTIFIED,SAN JOSE,CA
174,VIGILANZ CORPORATION,DATA SCIENTIST,91125,2015-03-04,2015-09-03,CERTIFIED,MINNEAPOLIS,MN
175,QUANTICMIND INC,DATA SCIENTIST,91166,2015-12-04,2016-01-04,CERTIFIED,REDWOOD CITY,CA
176,FACEBOOK INC,DATA SCIENTIST,92000,2015-02-10,2015-08-06,CERTIFIED,MENLO PARK,CA
177,FACEBOOK INC,DATA SCIENTIST,92000,2015-02-10,2015-08-06,CERTIFIED,MENLO PARK,CA
178,CONNANCE INC,DATA SCIENTIST,92000,2015-02-25,2015-08-25,CERTIFIED,WALTHAM,MA
179,TRANS-FAST REMITTANCE LLC,DATA SCIENTIST,92000,2015-03-04,2015-08-01,CERTIFIED,NEW YORK,NY
180,ALEVO INC,DATA SCIENTIST,92000,2015-03-17,2015-09-16,CERTIFIED,CONCORD,NC
181,LINKEDIN CORPORATION,DATA SCIENTIST,93000,2015-02-19,2015-03-02,CERTIFIED,MOUNTAIN VIEW,CA
182,LINKEDIN CORPORATION,DATA SCIENTIST,93000,2015-03-04,2015-09-03,CERTIFIED,MOUNTAIN VIEW,CA
183,LINKEDIN CORPORATION,DATA SCIENTIST,93000,2015-03-09,2015-09-08,CERTIFIED,MOUNTAIN VIEW,CA
184,KPMG LLP,DATA SCIENTIST,93912,2015-04-15,2015-04-23,CERTIFIED,NEW YORK,NY
185,SKYHIGH NETWORKS INC,DATA SCIENTIST,93974,2015-02-19,2015-08-20,CERTIFIED,CAMPBELL,CA
186,AGILONE INC,DATA SCIENTIST,93974,2015-02-26,2015-08-24,CERTIFIED,SUNNYVALE,CA
187,EGNYTE INC,DATA SCIENTIST,93974,2015-03-06,2015-09-01,CERTIFIED,MOUNTAIN VIEW,CA
188,SENZARI INC,DATA SCIENTIST,94000,2015-03-05,2015-09-01,CERTIFIED,MIAMI,FL
189,MOTOROLA SOLUTIONS INC,DATA SCIENTIST,94200,2015-03-19,2015-09-17,CERTIFIED,SALT LAKE CITY,UT
190,SYMPHONY TELECA SERVICES INC,DATA SCIENTIST,94931,2015-03-20,2015-08-15,CERTIFIED,PLANO,TX
191,KPMG LLP,DATA SCIENTIST,95000,2015-01-27,2015-07-16,CERTIFIED,CHICAGO,IL
192,EXPEDIA INC,DATA SCIENTIST,95000,2015-02-09,2015-08-07,CERTIFIED,BELLEVUE,WA
193,ZILLOW INC,DATA SCIENTIST,95000,2015-02-18,2015-08-17,CERTIFIED,NEW YORK,NY
194,RELAYRIDES INC,DATA SCIENTIST,95000,2015-02-10,2015-08-10,CERTIFIED,SAN FRANCISCO,CA
195,POWER ADVOCATE INC,DATA SCIENTIST,95000,2015-02-13,2015-08-12,CERTIFIED,BOSTON,MA
196,C3 INC,DATA SCIENTIST,95000,2015-03-02,2015-08-23,CERTIFIED,REDWOOD CITY,CA
197,CMI MARKETING INC,DATA SCIENTIST,95000,2015-03-12,2015-09-10,CERTIFIED,NEW YORK,NY
198,AGILONE INC,DATA SCIENTIST,95000,2015-02-25,2015-08-24,CERTIFIED,SUNNYVALE,CA
199,AGILONE INC,DATA SCIENTIST,95000,2015-02-25,2015-08-24,CERTIFIED,SUNNYVALE,CA
200,AGILONE INC,DATA SCIENTIST,95000,2015-02-26,2015-08-24,CERTIFIED,SUNNYVALE,CA
201,CELECT INC,DATA SCIENTIST,95000,2015-03-05,2015-09-02,CERTIFIED,BOSTON,MA
202,KPMG LLP,DATA SCIENTIST,95000,2015-03-18,2015-09-16,CERTIFIED,CHICAGO,IL
203,AVVO INC,DATA SCIENTIST,95000,2015-03-27,2015-04-13,CERTIFIED,SEATTLE,WA
204,EXPEDIA INC,DATA SCIENTIST,95000,2015-06-25,2015-07-06,CERTIFIED,BELLEVUE,WA
205,UBER TECHNOLOGIES INC,DATA SCIENTIST,95000,2015-09-22,2015-09-25,CERTIFIED,SAN FRANCISCO,CA
206,RELAYRIDES INC,DATA SCIENTIST,95264,2015-09-21,2015-10-01,CERTIFIED,SAN FRANCISCO,CA
207,GEMOLOGICAL INSTITUTE OF AMERICA (GIA),DATA SCIENTIST,97000,2015-01-21,2015-02-09,CERTIFIED,NEW YORK,NY
208,CIRCLEUP NETWORK INC,DATA SCIENTIST,97573,2015-12-09,2016-01-23,CERTIFIED,SAN FRANCISCO,CA
209,PEGGED SOFTWARE,DATA SCIENTIST,98000,2015-08-21,2015-08-24,CERTIFIED,NEW YORK,NY
210,PUBLIC ENGINES INC,DATA SCIENTIST,98500,2015-01-31,2015-02-06,CERTIFIED,DRAPER,UT
211,LIVECAREER NA INC,DATA SCIENTIST,99000,2015-06-16,2015-06-18,CERTIFIED,SAN FRANCISCO,CA
212,INTEL CORPORATION,DATA SCIENTIST,99653,2015-03-10,2015-09-03,CERTIFIED,HILLSBORO,OR
213,HOME DEPOT USA INC,DATA SCIENTIST,100000,2015-10-14,2015-11-02,CERTIFIED,ATLANTA,GA
214,HOME DEPOT USA INC,DATA SCIENTIST,100000,2015-11-05,2015-11-30,CERTIFIED,ATLANTA,GA
215,POLLEN INC,DATA SCIENTIST,100000,2015-12-05,2015-12-11,CERTIFIED,FAIRWAY,KS
216,1010DATA SERVICES LLC,DATA SCIENTIST,100000,2015-11-16,2015-12-01,CERTIFIED,NEW YORK,NY
217,MANTHAN SYSTEMS INC,DATA SCIENTIST,100000,2015-10-29,2015-11-09,CERTIFIED,SAN JOSE,CA
218,PLAYDOTS INC,DATA SCIENTIST,100000,2015-01-06,2015-01-13,CERTIFIED,NEW YORK,NY
