,employer,title,salary,submitDate,startDate,caseStatus,city,state
6254,elc management llc,Data Scientist,159800,2018-07-18,2018-08-01,CERTIFIED,NEW YORK,NY
6255,aig employee services inc,Data Scientist,90000,2018-07-19,2019-01-01,CERTIFIED,CHARLOTTE,NC
6256,enquizit inc,Data Scientist,111000,2018-07-19,2018-07-25,CERTIFIED,MCLEAN,VA
6257,capital group companies global,Data Scientist,145000,2018-07-19,2018-08-06,CERTIFIED,NEW YORK,NY
6258,caterpillar inc,Senior Data Scientist,91248,2018-07-19,2018-07-31,CERTIFIED,CHICAGO,IL
6259,halos insurance inc,Data Scientist,182700,2018-07-20,2018-07-23,CERTIFIED,CARY,NC
6260,kornerstone credit llc,Data Scientist,108000,2018-07-20,2018-07-30,DENIED,DRAPER,UT
6261,qlarant integrity solutions,Data Scientist,114163,2018-07-20,2019-01-03,CERTIFIED,BALTIMORE,MD
6262,westat,Senior Data Scientist,101316,2018-07-23,2018-10-05,CERTIFIED,ROCKVILLE,MD
6263,apolloversity incirporated,Data Scientist,75000,2018-07-23,2018-08-06,CERTIFIED,OAKLAND,CA
6264,intel corporation,Data Scientist,108139,2018-07-23,2018-10-01,CERTIFIED,SAN DIEGO,CA
6265,analysis group inc,Data Scientist,90000,2018-07-24,2018-08-06,CERTIFIED,BOSTON,MA
6266,quantium inc,Senior Data Scientist,108000,2018-07-24,2018-08-13,CERTIFIED,SAN FRANCISCO,CA
6267,facebook inc,Lead Data Scientist,162000,2018-07-24,2018-08-06,CERTIFIED,MENLO PARK,CA
6268,uber technologies inc,Data Scientist,115000,2018-07-24,2019-01-21,CERTIFIED,SAN FRANCISCO,CA
6269,cb information services inc,Data Scientist,175000,2018-07-24,2018-08-20,CERTIFIED,NEW YORK,NY
6270,sprint corporation,Senior Data Scientist,83538,2018-07-24,2018-08-15,CERTIFIED,ORLANDO,FL
6271,facebook inc,Data Scientist,155000,2018-07-24,2018-08-06,CERTIFIED,MENLO PARK,CA
6272,kornerstone credit llc,Data Scientist,108000,2018-07-25,2018-08-06,CERTIFIED,DRAPER,UT
6273,airbnb inc,Data Scientist,145000,2018-07-25,2018-09-03,CERTIFIED,SAN FRANCISCO,CA
6274,oath holdings inc,Data Scientist,143404,2018-07-25,2018-08-06,CERTIFIED,NEW YORK,NY
6275,wal-mart associates inc,Data Scientist,144000,2018-07-25,2018-08-08,CERTIFIED,SUNNYVALE,CA
6276,adobe,Data Scientist,163134,2018-07-25,2018-07-31,CERTIFIED,SAN FRANCISCO,CA
6277,uber technologies inc,Data Scientist,115000,2018-07-25,2018-07-30,CERTIFIED,SAN FRANCISCO,CA
6278,tiger analytics llc,Senior Data Scientist,105581,2018-07-26,2018-09-03,CERTIFIED,SANTA CLARA,CA
6279,tapjoy inc,Data Scientist,115000,2018-07-26,2018-08-06,CERTIFIED,SAN FRANCISCO,CA
6280,airbnb inc,Data Scientist,170000,2018-07-26,2018-09-03,CERTIFIED,SAN FRANCISCO,CA
6281,syngenta crop protection llc,Data Scientist,88088,2018-07-26,2018-09-10,CERTIFIED,RESEARCH TRIANGLE PARK,NC
6282,oracle america inc,Data Scientist,128536,2018-07-26,2018-08-06,CERTIFIED,SEATTLE,WA
6283,tiger analytics llc,Senior Data Scientist,105581,2018-07-26,2018-09-03,CERTIFIED,SANTA CLARA,CA
6284,one concern inc,Data Scientist,131997,2018-07-26,2018-08-20,CERTIFIED,PALO ALTO,CA
6285,fujitsu america inc,Senior Data Scientist,101046,2018-07-27,2018-08-03,CERTIFIED,DEARBORN,MI
6286,partners healthcare system inc,Associate Data Scientist,60000,2018-07-27,2018-09-01,CERTIFIED,BOSTON,MA
6287,facebook inc,Data Scientist,145000,2018-07-27,2018-10-01,CERTIFIED,MENLO PARK,CA
6288,partners healthcare system inc,Associate Data Scientist,60000,2018-07-27,2018-08-20,CERTIFIED,BOSTON,MA
6289,facebook inc,Data Scientist,140000,2018-07-27,2018-08-06,CERTIFIED,MENLO PARK,CA
6290,manthan systems inc,Data Scientist,126000,2018-07-27,2018-08-03,CERTIFIED,SAN JOSE,CA
6291,the ripples group llc,Data Scientist,85000,2018-07-27,2018-08-20,CERTIFIED,BOSTON,MA
6292,insurance services office inc,Associate Data Scientist,85000,2018-07-30,2018-10-01,CERTIFIED,JERSEY CITY,NJ
6293,reliable software resources inc,Data Scientist,87000,2018-07-30,2018-08-06,CERTIFIED,NORTHVILLE,MI
6294,facebook inc,Data Scientist,175000,2018-07-30,2018-08-13,CERTIFIED,MENLO PARK,CA
6295,celect inc,Senior Data Scientist,135000,2018-07-30,2018-09-02,CERTIFIED,BOSTON,MA
6296,facebook inc,Lead Data Scientist,162000,2018-07-30,2018-08-06,CERTIFIED,MENLO PARK,CA
6297,ibm corporation,Senior Data Scientist,137868,2018-07-30,2018-10-01,CERTIFIED,ANDOVER,MA
6298,quantium inc,Senior Data Scientist,114400,2018-07-31,2018-09-10,CERTIFIED,SAN FRANCISCO,CA
6299,reliant vision group inc,Data Scientist,90320,2018-07-31,2018-08-07,CERTIFIED,FALLS CHURCH,VA
6300,facebook inc,Data Scientist,160000,2018-07-31,2018-08-13,CERTIFIED,MENLO PARK,CA
6301,paypal inc,Data Scientist,150000,2018-07-31,2018-08-13,CERTIFIED,SAN JOSE,CA
6302,facebook inc,Data Scientist,160000,2018-07-31,2018-08-13,CERTIFIED,MENLO PARK,CA
6303,facebook inc,Data Scientist,165000,2018-07-31,2018-08-13,CERTIFIED,MENLO PARK,CA
6304,facebook inc,Data Scientist,115000,2018-07-31,2018-08-13,CERTIFIED,MENLO PARK,CA
6305,facebook inc,Data Scientist,150000,2018-07-31,2018-11-05,CERTIFIED,MENLO PARK,CA
6306,wal-mart associates inc,Staff Data Scientist,195000,2018-08-01,2018-08-15,CERTIFIED,SUNNYVALE,CA
6307,wal-mart associates inc,Staff Data Scientist,195000,2018-08-01,2018-08-15,CERTIFIED,SUNNYVALE,CA
6308,indeed inc,Senior Data Scientist,121077,2018-08-01,2018-08-20,CERTIFIED,SAN FRANCISCO,CA
6309,uber technologies inc,Data Scientist,115000,2018-08-02,2018-08-07,CERTIFIED,SAN FRANCISCO,CA
6310,square inc,Data Scientist,133786,2018-08-02,2018-08-20,CERTIFIED,SAN FRANCISCO,CA
6311,stitch fix inc,Data Scientist,234000,2018-08-02,2018-10-15,CERTIFIED,SAN FRANCISCO,CA
6312,facebook inc,Data Scientist,150000,2018-08-02,2018-08-13,CERTIFIED,MENLO PARK,CA
6313,stash financial inc,Data Scientist,130000,2018-08-03,2018-09-10,CERTIFIED,NEW YORK,NY
6314,fractal analytics inc,Senior Data Scientist,87464,2018-08-03,2018-08-09,CERTIFIED,JERSEY CITY,NJ
6315,facebook inc,Data Scientist,155000,2018-08-03,2018-08-13,CERTIFIED,MENLO PARK,CA
6316,wal-mart associates inc,Associate Data Scientist,95612,2018-08-03,2019-01-27,CERTIFIED,BENTONVILLE,AR
6317,equifax inc,Data Scientist,113400,2018-08-03,2018-08-13,CERTIFIED,ALPHARETTA,GA
6318,amazon,Data Scientist,132000,2018-08-03,2018-08-06,CERTIFIED,SEATTLE,WA
6319,indeed inc,Data Scientist,174117,2018-08-03,2018-08-20,CERTIFIED,SAN FRANCISCO,CA
6320,adecco group na/modis inc,Data Scientist,90000,2018-08-05,2018-10-15,CERTIFIED,DEARBORN,MI
6321,netflix inc,Senior Data Scientist,184350,2018-08-06,2018-08-20,CERTIFIED,LOS GATOS,CA
6322,facebook inc,Data Scientist,135000,2018-08-06,2018-08-13,CERTIFIED,MENLO PARK,CA
6323,facebook inc,Data Scientist,175000,2018-08-06,2018-08-20,CERTIFIED,MENLO PARK,CA
6324,lyft inc,Data Scientist,160000,2018-08-06,2018-09-10,CERTIFIED,SAN FANCISCO,CA
6325,axiom exergy inc,Data Scientist,114000,2018-08-06,2018-08-15,CERTIFIED,RICHMOND,CA
6326,facebook inc,Data Scientist,155000,2018-08-06,2018-08-06,CERTIFIED,MENLO PARK,CA
6327,the boston consulting group inc,Senior Data Scientist,125000,2018-08-06,2018-09-10,CERTIFIED,BOSTON,MA
6328,environmental systems research institute inc,Senior Data Scientist,180960,2018-08-07,2018-08-20,CERTIFIED,REDLANDS,CA
6329,precision medicine group llc,Senior Data Scientist,125000,2018-08-07,2018-09-29,CERTIFIED,NEW YORK,NY
6330,root inc,Data Scientist,100000,2018-08-07,2018-08-13,CERTIFIED,COLUMBUS,OH
6331,cloudwick technologies inc,Data Scientist,125112,2018-08-07,2018-12-31,CERTIFIED,NEWARK,CA
6332,facebook inc,Data Scientist,168875,2018-08-07,2018-10-01,CERTIFIED,MENLO PARK,CA
6333,microsoft corporation,Data Scientist,130000,2018-08-07,2018-08-20,CERTIFIED,REDMOND,WA
6334,wal-mart associates inc,Data Scientist,85000,2018-08-08,2018-10-01,CERTIFIED,DALLAS,TX
6335,vesta corporation,Senior Data Scientist,93000,2018-08-08,2019-01-23,CERTIFIED,BOTHELL,WA
6336,massachusetts mutual life insurance company,Senior Data Scientist,140000,2018-08-08,2018-09-10,CERTIFIED,BOSTON,MA
6337,wal-mart associates inc,Senior Data Scientist,118668,2018-08-08,2018-09-28,CERTIFIED,BENTONVILLE,AR
6338,exzac inc,Data Scientist,105000,2018-08-08,2018-08-20,CERTIFIED,JERSEY CITY,NJ
6339,oath holdings inc,Senior Data Scientist,105227,2018-08-08,2018-09-10,CERTIFIED,NEW YORK,NY
