,employer,title,salary,submitDate,startDate,caseStatus,city,state
1101,university of massachusetts medical school,Data Analyst,68000,2015-12-29,2016-01-11,WITHDRAWN,NORTH QUINCY,MA
1102,datagence inc,Lead Data Analyst,95000,2015-12-30,2016-01-04,CERTIFIED,RED BANK,NJ
1103,techaffinity consulting inc,Data Analyst,86237,2015-12-30,2016-01-10,CERTIFIED,MADISON,NJ
1104,byte consulting inc,Data Analyst,70000,2015-12-31,2015-12-31,WITHDRAWN,CHARLOTTE,NC
1105,byte consulting inc,Data Analyst,70000,2015-12-31,2015-12-31,CERTIFIED,CHARLOTTE,NC
1106,mcgraw-hill global education llc,Data Analyst,82000,2016-01-04,2016-01-11,CERTIFIED,NEW YORK,NY
1107,slack technologies inc,Data Analyst,95300,2016-01-05,2016-01-10,CERTIFIED,SAN FRANCISCO,CA
1108,capital one services llc,Senior Data Analyst,90000,2016-01-05,2016-01-25,CERTIFIED,VIENNA,VA
1109,capital one services llc,Senior Data Analyst,80000,2016-01-05,2016-01-18,CERTIFIED,MCLEAN,VA
1110,capital one investing llc,Principal Data Analyst,90000,2016-01-06,2016-05-17,CERTIFIED,MCLEAN,VA
1111,fidelity brokerage services llc,Principal Data Analyst,87568,2016-01-08,2016-01-18,CERTIFIED,DURHAM,NC
1112,epiq class action and claim solutions inc,Data Analyst,100000,2016-01-11,2016-01-19,CERTIFIED,BEAVERTON,OR
1113,fusion plus solutions inc,Data Analyst,72000,2016-01-12,2016-01-20,WITHDRAWN,LOS ANGELES,CA
1114,fusion plus solutions inc,Data Analyst,72000,2016-01-12,2016-01-20,CERTIFIED,LOS ANGELES,CA
1115,shivam infotech inc,Data Analyst,74922,2016-01-12,2016-01-12,CERTIFIED,SAN FRANCISCO,CA
1116,indo welsh company inc,Data Analyst,75000,2016-01-13,2016-01-20,CERTIFIED,NEW YORK,NY
1117,capital one national association,Principal Data Analyst,70000,2016-01-13,2016-04-08,CERTIFIED,GLEN ALLEN,VA
1118,blue cross blue shield of michigan,Data Analyst,78250,2016-01-14,2016-02-29,CERTIFIED,DETROIT,MI
1119,tilting point media llc,Data Analyst,100000,2016-01-14,2016-01-18,CERTIFIED,NEW YORK,NY
1120,intel corporation,Data Analyst,108493,2016-01-14,2016-04-23,CERTIFIED,SANTA CLARA,CA
1121,facebook inc,Data Analyst,120000,2016-01-14,2016-07-11,CERTIFIED,MENLO PARK,CA
1122,blue cross blue shield of michigan,Data Analyst,78250,2016-01-14,2016-02-29,WITHDRAWN,DETROIT,MI
1123,columbia university,Data Analyst,57158,2016-01-15,2016-02-12,CERTIFIED,NEW YORK,NY
1124,george ventures llc,Data Analyst,76000,2016-01-15,2016-01-28,CERTIFIED,LINCOLNSHIRE,IL
